Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00    14399     0.00     0.00  JobsHandler::isMainForeground()
  0.00      0.00     0.00       95     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::size() const
  0.00      0.00     0.00       87     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::base() const
  0.00      0.00     0.00       76     0.00     0.00  __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::base() const
  0.00      0.00     0.00       66     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::__normal_iterator(std::string* const&)
  0.00      0.00     0.00       48     0.00     0.00  __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::__normal_iterator(std::string const* const&)
  0.00      0.00     0.00       47     0.00     0.00  __gnu_cxx::new_allocator<std::string>::max_size() const
  0.00      0.00     0.00       44     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       44     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.00     0.00       42     0.00     0.00  operator new(unsigned int, void*)
  0.00      0.00     0.00       35     0.00     0.00  bool __gnu_cxx::operator!=<std::string const*, std::vector<std::string, std::allocator<std::string> > >(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > > const&, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > > const&)
  0.00      0.00     0.00       35     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::begin()
  0.00      0.00     0.00       33     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_allocate(unsigned int)
  0.00      0.00     0.00       24     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::end() const
  0.00      0.00     0.00       24     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::begin() const
  0.00      0.00     0.00       24     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::max_size() const
  0.00      0.00     0.00       24     0.00     0.00  std::string* std::__uninitialized_copy<false>::uninitialized_copy<std::string*, std::string*>(std::string*, std::string*, std::string*)
  0.00      0.00     0.00       24     0.00     0.00  std::string* std::uninitialized_copy<std::string*, std::string*>(std::string*, std::string*, std::string*)
  0.00      0.00     0.00       24     0.00     0.00  std::string* std::__uninitialized_copy_a<std::string*, std::string*, std::string>(std::string*, std::string*, std::string*, std::allocator<std::string>&)
  0.00      0.00     0.00       24     0.00     0.00  std::string* std::__uninitialized_move_a<std::string*, std::string*, std::allocator<std::string> >(std::string*, std::string*, std::string*, std::allocator<std::string>&)
  0.00      0.00     0.00       23     0.00     0.00  __gnu_cxx::new_allocator<std::string>::allocate(unsigned int, void const*)
  0.00      0.00     0.00       21     0.00     0.00  std::string* std::__uninitialized_copy<false>::uninitialized_copy<__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, std::string*>(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, std::string*)
  0.00      0.00     0.00       21     0.00     0.00  std::string* std::uninitialized_copy<__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, std::string*>(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, std::string*)
  0.00      0.00     0.00       21     0.00     0.00  std::string* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, std::string*, std::string>(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, std::string*, std::allocator<std::string>&)
  0.00      0.00     0.00       20     0.00     0.00  __gnu_cxx::new_allocator<std::string>::new_allocator(__gnu_cxx::new_allocator<std::string> const&)
